size,array_type,algorithm,repeats,time_ms
7300,almost_sorted,introsort,3,0.5394
7400,random,quick,3,1.44127
7400,random,introsort,3,0.7487
7400,reversed,quick,3,0.499133
7400,reversed,introsort,3,0.2535
7400,almost_sorted,quick,3,0.483567
7400,almost_sorted,introsort,3,0.478267
7500,random,quick,3,1.24093
7500,random,introsort,3,0.773067
7500,reversed,quick,3,0.524067
7500,reversed,introsort,3,0.254833
7500,almost_sorted,quick,3,0.483967
7500,almost_sorted,introsort,3,0.2587
7600,random,quick,3,1.0664
7600,random,introsort,3,0.784267
7600,reversed,quick,3,0.5136
7600,reversed,introsort,3,0.272133
7600,almost_sorted,quick,3,0.553133
7600,almost_sorted,introsort,3,0.2737
7700,random,quick,3,1.099
7700,random,introsort,3,0.755733
7700,reversed,quick,3,0.541233
7700,reversed,introsort,3,0.268933
7700,almost_sorted,quick,3,0.4951
7700,almost_sorted,introsort,3,0.261
7800,random,quick,3,1.07647
7800,random,introsort,3,0.764267
7800,reversed,quick,3,0.553467
7800,reversed,introsort,3,0.2571
7800,almost_sorted,quick,3,0.514167
7800,almost_sorted,introsort,3,0.2615
7900,random,quick,3,1.05857
7900,random,introsort,3,0.797867
7900,reversed,quick,3,0.5177
7900,reversed,introsort,3,0.486867
7900,almost_sorted,quick,3,0.967833
7900,almost_sorted,introsort,3,0.484933
8000,random,quick,3,2.0022
8000,random,introsort,3,1.3463
8000,reversed,quick,3,0.825567
8000,reversed,introsort,3,0.426067
8000,almost_sorted,quick,3,0.996067
8000,almost_sorted,introsort,3,0.3934
8100,random,quick,3,1.15287
8100,random,introsort,3,0.865067
8100,reversed,quick,3,0.555
8100,reversed,introsort,3,0.2807
8100,almost_sorted,quick,3,0.542733
8100,almost_sorted,introsort,3,0.282733
8200,random,quick,3,1.25397
8200,random,introsort,3,0.865367
8200,reversed,quick,3,0.5419
8200,reversed,introsort,3,0.304467
8200,almost_sorted,quick,3,0.5573
8200,almost_sorted,introsort,3,0.287733
8300,random,quick,3,1.5196
8300,random,introsort,3,0.983667
8300,reversed,quick,3,0.6701
8300,reversed,introsort,3,0.380133
8300,almost_sorted,quick,3,0.590567
8300,almost_sorted,introsort,3,0.283633
8400,random,quick,3,1.12967
8400,random,introsort,3,0.845033
8400,reversed,quick,3,0.583567
8400,reversed,introsort,3,0.285533
8400,almost_sorted,quick,3,0.555133
8400,almost_sorted,introsort,3,0.295667
8500,random,quick,3,1.29417
8500,random,introsort,3,0.877967
8500,reversed,quick,3,0.5846
8500,reversed,introsort,3,0.312267
8500,almost_sorted,quick,3,0.5639
8500,almost_sorted,introsort,3,0.2741
8600,random,quick,3,1.14887
8600,random,introsort,3,0.8624
8600,reversed,quick,3,0.556233
8600,reversed,introsort,3,0.341167
8600,almost_sorted,quick,3,0.7348
8600,almost_sorted,introsort,3,0.541567
8700,random,quick,3,1.78547
8700,random,introsort,3,0.884367
8700,reversed,quick,3,0.591233
8700,reversed,introsort,3,0.3113
8700,almost_sorted,quick,3,0.594833
8700,almost_sorted,introsort,3,0.2952
8800,random,quick,3,1.16703
8800,random,introsort,3,0.9506
8800,reversed,quick,3,1.11157
8800,reversed,introsort,3,0.562767
8800,almost_sorted,quick,3,1.06173
8800,almost_sorted,introsort,3,0.5139
8900,random,quick,3,1.23127
8900,random,introsort,3,0.895533
8900,reversed,quick,3,0.609733
8900,reversed,introsort,3,0.321433
8900,almost_sorted,quick,3,0.652433
8900,almost_sorted,introsort,3,0.4089
9000,random,quick,3,1.26563
9000,random,introsort,3,0.945233
9000,reversed,quick,3,0.599967
9000,reversed,introsort,3,0.358467
9000,almost_sorted,quick,3,0.678133
9000,almost_sorted,introsort,3,0.311133
9100,random,quick,3,1.22667
9100,random,introsort,3,0.9266
9100,reversed,quick,3,0.6336
9100,reversed,introsort,3,0.322967
9100,almost_sorted,quick,3,0.646767
9100,almost_sorted,introsort,3,0.305133
9200,random,quick,3,1.299
9200,random,introsort,3,0.915467
9200,reversed,quick,3,0.640733
9200,reversed,introsort,3,0.3013
9200,almost_sorted,quick,3,0.655767
9200,almost_sorted,introsort,3,0.336633
9300,random,quick,3,2.3425
9300,random,introsort,3,0.960467
9300,reversed,quick,3,0.617
9300,reversed,introsort,3,0.332867
9300,almost_sorted,quick,3,0.607633
9300,almost_sorted,introsort,3,0.326
9400,random,quick,3,1.5505
9400,random,introsort,3,0.9423
9400,reversed,quick,3,0.633
9400,reversed,introsort,3,0.3083
9400,almost_sorted,quick,3,0.631767
9400,almost_sorted,introsort,3,0.316733
9500,random,quick,3,1.31763
9500,random,introsort,3,0.996867
9500,reversed,quick,3,0.6152
9500,reversed,introsort,3,0.3269
9500,almost_sorted,quick,3,0.718633
9500,almost_sorted,introsort,3,0.3409
9600,random,quick,3,1.27867
9600,random,introsort,3,1.0321
9600,reversed,quick,3,0.659167
9600,reversed,introsort,3,0.327467
9600,almost_sorted,quick,3,0.613367
9600,almost_sorted,introsort,3,0.3328
9700,random,quick,3,1.36563
9700,random,introsort,3,1.08987
9700,reversed,quick,3,0.667133
9700,reversed,introsort,3,0.329333
9700,almost_sorted,quick,3,0.631
9700,almost_sorted,introsort,3,0.319133
9800,random,quick,3,1.9283
9800,random,introsort,3,1.13777
9800,reversed,quick,3,0.7936
9800,reversed,introsort,3,0.3218
9800,almost_sorted,quick,3,0.659367
9800,almost_sorted,introsort,3,0.372367
9900,random,quick,3,2.67303
9900,random,introsort,3,1.7304
9900,reversed,quick,3,1.0822
9900,reversed,introsort,3,0.616467
9900,almost_sorted,quick,3,1.24917
9900,almost_sorted,introsort,3,0.752867
10000,random,quick,3,1.35613
10000,random,introsort,3,1.0564
10000,reversed,quick,3,0.685367
10000,reversed,introsort,3,0.335833
10000,almost_sorted,quick,3,0.674033
10000,almost_sorted,introsort,3,0.3224
10100,random,quick,3,1.99123
10100,random,introsort,3,1.71187
10100,reversed,quick,3,0.6553
10100,reversed,introsort,3,0.326933
10100,almost_sorted,quick,3,0.7241
10100,almost_sorted,introsort,3,0.3491
